,Date/Time,AIR LOOP DEMAND SIDE INLET 1:System Node Temperature [C](Hourly),AIR LOOP DEMAND SIDE INLET 1:System Node Mass Flow Rate [kg/s](Hourly),AIR LOOP DEMAND SIDE INLET 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),AIR LOOP DEMAND SIDE INLET 1:System Node Standard Density Volume Flow Rate [m3/s](Hourly),AIR LOOP DEMAND SIDE INLET 1:System Node Current Density Volume Flow Rate [m3/s](Hourly),AIR LOOP SUPPLY SIDE OUTLET 1:System Node Temperature [C](Hourly),AIR LOOP SUPPLY SIDE OUTLET 1:System Node Mass Flow Rate [kg/s](Hourly),AIR LOOP SUPPLY SIDE OUTLET 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),AIR LOOP SUPPLY SIDE OUTLET 1:System Node Standard Density Volume Flow Rate [m3/s](Hourly)
8224, 12/09  17:00:00,13.428847362987348,18.9442075938461,0.0033907495256532,15.870976895310683,15.627134444345957,13.428847362987348,18.9442075938461,0.0033907495256532,15.870976895310683
8225, 12/09  18:00:00,12.46509056169601,18.9442075938461,0.0031512994651478,15.870976895310688,15.54923649722547,12.46509056169601,18.9442075938461,0.0031512994651478,15.870976895310688
8226, 12/09  19:00:00,11.976848555162103,18.9442075938461,0.0030650726469712,15.870976895310683,15.505057402554618,11.976848555162103,18.9442075938461,0.0030650726469712,15.870976895310683
8227, 12/09  20:00:00,11.708572903936584,18.9442075938461,0.0030373804726741,15.870976895310683,15.485928786850476,11.708572903936584,18.9442075938461,0.0030373804726741,15.870976895310683
8228, 12/09  21:00:00,11.04280259696887,18.9442075938461,0.0029072990824125,15.870976895310683,15.446519996138294,11.04280259696887,18.9442075938461,0.0029072990824125,15.870976895310683
8229, 12/09  22:00:00,10.28053710567256,18.9442075938461,0.0026876005425844,15.870976895310683,15.399674173909364,10.28053710567256,18.9442075938461,0.0026876005425844,15.870976895310683
8230, 12/09  23:00:00,9.464896546637208,18.9442075938461,0.0024893423315593,15.870976895310688,15.339039223129904,9.464896546637208,18.9442075938461,0.0024893423315593,15.870976895310688
8231, 12/09  24:00:00,9.048359868965909,18.9442075938461,0.0023729504812739,15.870976895310683,15.309768096013368,9.048359868965909,18.9442075938461,0.0023729504812739,15.870976895310683
8232, 12/10  01:00:00,8.584934607103825,18.9442075938461,0.0022182719205948,15.870976895310683,15.269458031642635,8.584934607103825,18.9442075938461,0.0022182719205948,15.870976895310683
8233, 12/10  02:00:00,8.207752050125798,18.9442075938461,0.0021097690951274,15.870976895310683,15.242577325468204,8.207752050125798,18.9442075938461,0.0021097690951274,15.870976895310683
8234, 12/10  03:00:00,7.836158388743469,18.9442075938461,0.0020289976999762,15.870976895310683,15.220475984674012,7.836158388743469,18.9442075938461,0.0020289976999762,15.870976895310683
8235, 12/10  04:00:00,7.482382937253655,18.9442075938461,0.0019542471159905,15.870976895310683,15.188181993089447,7.482382937253655,18.9442075938461,0.0019542471159905,15.870976895310683
8236, 12/10  05:00:00,7.11160146675927,18.9442075938461,0.0018775781840238,15.870976895310683,15.162487260273336,7.11160146675927,18.9442075938461,0.0018775781840238,15.870976895310683
8237, 12/10  06:00:00,6.787547492844112,18.9442075938461,0.0018075355029771,15.870976895310683,15.143255067034584,6.787547492844112,18.9442075938461,0.0018075355029771,15.870976895310683
8238, 12/10  07:00:00,6.6612259485780125,18.9442075938461,0.0017534862168557,15.870976895310683,15.123857814394697,6.6612259485780125,18.9442075938461,0.0017534862168557,15.870976895310683
8239, 12/10  08:00:00,6.906572816565808,18.9442075938461,0.0017432740165742,15.870976895310683,15.13311992382399,6.906572816565808,18.9442075938461,0.0017432740165742,15.870976895310683
8240, 12/10  09:00:00,8.895246406113873,18.9442075938461,0.0020127289718392,15.870976895310688,15.235839441260897,8.895246406113873,18.9442075938461,0.0020127289718392,15.870976895310688
8241, 12/10  10:00:00,10.409322448757315,18.9442075938461,0.002330247980202,15.870976895310688,15.321632075556696,10.409322448757315,18.9442075938461,0.002330247980202,15.870976895310688
8242, 12/10  11:00:00,11.493606604702421,18.9442075938461,0.0027997287396401,15.870976895310683,15.391788423421524,11.493606604702421,18.9442075938461,0.0027997287396401,15.870976895310683
8243, 12/10  12:00:00,11.884709897102393,18.9442075938461,0.0030817258140532,15.870976895310688,15.43134753448966,11.884709897102393,18.9442075938461,0.0030817258140532,15.870976895310688
8244, 12/10  13:00:00,12.28930495366922,18.9442075938461,0.0030557922487554,15.870976895310683,15.467937848812392,12.28930495366922,18.9442075938461,0.0030557922487554,15.870976895310683
8245, 12/10  14:00:00,12.683670400356243,18.9442075938461,0.003138315184264,15.870976895310683,15.506733655409132,12.683670400356243,18.9442075938461,0.003138315184264,15.870976895310683
8246, 12/10  15:00:00,12.998161218216266,18.9442075938461,0.003087135888948,15.870976895310683,15.526374980275046,12.998161218216266,18.9442075938461,0.003087135888948,15.870976895310683
8247, 12/10  16:00:00,13.261940571907141,18.9442075938461,0.003012513002172,15.870976895310683,15.550416096831105,13.261940571907141,18.9442075938461,0.003012513002172,15.870976895310683
8248, 12/10  17:00:00,13.195726566854985,18.9442075938461,0.0030740137441205,15.870976895310683,15.552212773187064,13.195726566854985,18.9442075938461,0.0030740137441205,15.870976895310683
8249, 12/10  18:00:00,12.273767923505964,18.9442075938461,0.0030984175696524,15.870976895310688,15.491199336928588,12.273767923505964,18.9442075938461,0.0030984175696524,15.870976895310688
8250, 12/10  19:00:00,11.89958027950879,18.9442075938461,0.003057587138225,15.870976895310683,15.477563207917228,11.89958027950879,18.9442075938461,0.003057587138225,15.870976895310683
